Phone_ID,Brand,RAM_GB,Storage_GB,Screen_Size,Price_USD,Battery_mAh,OS,Rating,Quantity_Sold,Sales_Revenue,Profit,Profit_Per_Unit
1,oneplus,8,256,7.15,395.0,3227.0,android,4.3,66,26070.0,6517.5,98.75
2,google,12,256,6.44,228.0,5881.0,android,3.5,100,22800.0,5700.0,57.0
7,xiaomi,12,128,6.87,1139.0,5575.0,android,3.8,355,404345.0,101086.25,284.75
8,xiaomi,6,512,7.28,1166.0,3949.0,android,4.4,173,201718.0,50429.5,291.5
9,xiaomi,6,256,6.43,1300.0,3426.0,android,4.3,339,440700.0,110175.0,325.0
10,google,8,128,5.45,428.0,5089.0,android,3.4,311,133108.0,33277.0,107.0
11,oneplus,16,64,5.67,1161.0,3464.0,android,4.3,414,480654.0,120163.5,290.25
12,xiaomi,4,64,5.5,914.0,4645.0,android,3.5,98,89572.0,22393.0,228.5
13,huawei,8,1024,5.62,1183.0,3277.0,android,3.0,55,65065.0,16266.25,295.75
14,google,8,512,5.77,772.0,5883.0,android,4.4,166,128152.0,32038.0,193.0
16,oneplus,6,1024,6.47,525.0,3065.0,ios,3.8,312,163800.0,40950.0,131.25
17,huawei,8,1024,6.07,1074.0,3166.0,android,4.1,402,431748.0,107937.0,268.5
18,huawei,8,64,6.54,558.0,4608.0,android,4.9,484,270072.0,67518.0,139.5
19,apple,16,64,5.2,523.0,3402.0,android,4.2,423,221229.0,55307.25,130.75
20,oneplus,16,1024,5.22,364.0,3408.0,android,4.3,178,64792.0,16198.0,91.0
21,google,4,64,5.43,997.0,5159.0,android,3.1,446,444662.0,111165.5,249.25
22,samsung,12,512,6.3,654.0,3596.0,ios,3.3,220,143880.0,35970.0,163.5
23,oneplus,4,1024,5.53,1376.0,5698.0,ios,3.6,76,104576.0,26144.0,344.0
24,apple,16,64,5.71,1350.0,4062.0,ios,4.1,248,334800.0,83700.0,337.5
25,huawei,6,128,6.0,392.0,5152.0,android,4.6,421,165032.0,41258.0,98.0
