Phone_ID,Brand,RAM_GB,Storage_GB,Screen_Size,Price_USD,Battery_mAh,OS,Rating,Quantity_Sold,Sales_Revenue,Profit
1,OnePlus,8,256,7.15,395.0,3227.0,Android,4.3,66,26070.0,6517.5
2,Google,12,256,6.44,228.0,5881.0,Android,3.5,100,22800.0,5700.0
3,Xiaomi,16,1024,7.23,905.0,3857.0,iOS,4.8,496,,112220.0
4,Google,16,512,6.49,,4268.0,iOS,4.7,319,389180.0,97295.0
5,Google,16,128,7.03,,5865.0,Android,4.0,364,78260.0,
6,Apple,8,1024,6.07,,4017.0,Android,3.9,132,132528.0,33132.0
7,Xiaomi,12,128,6.87,1139.0,5575.0,Android,3.8,355,404345.0,101086.25
8,Xiaomi,6,512,7.28,1166.0,3949.0,Android,4.4,173,201718.0,50429.5
9,Xiaomi,6,256,6.43,1300.0,3426.0,Android,4.3,339,440700.0,110175.0
10,Google,8,128,5.45,428.0,5089.0,Android,3.4,311,133108.0,33277.0
11,OnePlus,16,64,5.67,1161.0,3464.0,Android,4.3,414,480654.0,120163.5
12,Xiaomi,4,64,5.5,914.0,4645.0,Android,3.5,98,89572.0,22393.0
13,Huawei,8,1024,5.62,1183.0,3277.0,Android,3.0,55,65065.0,16266.25
14,Google,8,512,5.77,772.0,5883.0,Android,4.4,166,128152.0,32038.0
15,Apple,12,1024,6.39,,3018.0,Android,4.3,167,135938.0,33984.5
16,OnePlus,6,1024,6.47,525.0,3065.0,iOS,3.8,312,163800.0,40950.0
17,Huawei,8,1024,6.07,1074.0,3166.0,Android,4.1,402,431748.0,107937.0
18,Huawei,8,64,6.54,558.0,4608.0,Android,4.9,484,270072.0,67518.0
19,Apple,16,64,5.2,523.0,3402.0,Android,4.2,423,221229.0,55307.25
20,OnePlus,16,1024,5.22,364.0,3408.0,Android,4.3,178,64792.0,16198.0
21,Google,4,64,5.43,997.0,5159.0,Android,3.1,446,444662.0,111165.5
22,Samsung,12,512,6.3,654.0,3596.0,iOS,3.3,220,143880.0,35970.0
23,OnePlus,4,1024,5.53,1376.0,5698.0,iOS,3.6,76,104576.0,26144.0
24,Apple,16,64,5.71,1350.0,4062.0,iOS,4.1,248,334800.0,83700.0
